"Ano","Semestre","Cód. Disciplina","Cód. Turma","Alunos","Professor","Cód. Curso","Curso","Porcentagem de Aprovado","Porcentagem de Dispensado","Porcentagem de Reprovado","Porcentagem de Tr.Parcial","Porcentagem de Não Concl.","Porcentagem de CancMatric","Porcentagem de Repr.Freq"
2021,"1. Semestre","D320200","11",1,"B292200218320","312","Curso de Engenharia de Computação",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","11",1,"B461200642855","312","Curso de Engenharia de Computação",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","11",17,"B200380461148","312","Curso de Engenharia de Computação",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","11",17,"B320888200683","312","Curso de Engenharia de Computação",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","11",17,"B512402380642","312","Curso de Engenharia de Computação",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","11",17,"B888642512642","312","Curso de Engenharia de Computação",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","11",17,"B292200218320","312","Curso de Engenharia de Computação",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","11",17,"B461200642855","312","Curso de Engenharia de Computação",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","11",1,"B200380461148","312","Curso de Engenharia de Computação",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","11",1,"B320888200683","312","Curso de Engenharia de Computação",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","11",1,"B512402380642","312","Curso de Engenharia de Computação",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","11",1,"B888642512642","312","Curso de Engenharia de Computação",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","11",1,"B292200218320","312","Curso de Engenharia de Computação",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","12",7,"B200380461148","302","Engenharia Civil",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","12",7,"B320888200683","302","Engenharia Civil",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","12",7,"B512402380642","302","Engenharia Civil",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","12",7,"B888642512642","302","Engenharia Civil",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","12",7,"B292200218320","302","Engenharia Civil",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","12",7,"B461200642855","302","Engenharia Civil",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","12",1,"B200380461148","302","Engenharia Civil",0,0,0,0,0,0,0
2021,"1. Semestre","D320200","12",1,"B320888200683","302","Engenharia Civil",0,0,0,0,0,0,0
2021,"1. Semestre","D320200","12",1,"B512402380642","302","Engenharia Civil",0,0,0,0,0,0,0
2021,"1. Semestre","D320200","12",1,"B888642512642","302","Engenharia Civil",0,0,0,0,0,0,0
2021,"1. Semestre","D320200","12",1,"B292200218320","302","Engenharia Civil",0,0,0,0,0,0,0
2021,"1. Semestre","D320200","12",1,"B461200642855","302","Engenharia Civil",0,0,0,0,0,0,0
2021,"1. Semestre","D320200","12",28,"B200380461148","302","Engenharia Civil",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","12",28,"B320888200683","302","Engenharia Civil",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","12",28,"B512402380642","302","Engenharia Civil",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","12",28,"B888642512642","302","Engenharia Civil",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","12",28,"B292200218320","302","Engenharia Civil",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","12",28,"B461200642855","302","Engenharia Civil",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","12",2,"B200380461148","302","Engenharia Civil",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","12",2,"B320888200683","302","Engenharia Civil",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","12",2,"B512402380642","302","Engenharia Civil",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","12",2,"B888642512642","302","Engenharia Civil",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","12",2,"B292200218320","302","Engenharia Civil",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","12",2,"B461200642855","302","Engenharia Civil",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","13",11,"B461200642855","303","Engenharia Elétrica",5,0,0,0,0,0,0
2021,"1. Semestre","D320200","13",11,"B200380461148","303","Engenharia Elétrica",5,0,0,0,0,0,0
