Ano,Semestre,Cód. Disciplina,Cód. Turma,Professor,Cód. Curso,Curso,Porcentagem de Aprovado,Porcentagem de Dispensado,Porcentagem de Reprovado,Porcentagem de Tr.Parcial,Porcentagem de Não Concl.,Porcentagem de CancMatric,Porcentagem de Repr.Freq,Alunos
2021,1. Semestre,D320200,11,B292200218320,312.0,Curso de Engenharia de Computação,3.0,0.0,12.0,1.0,1.0,0.0,0.0,24.0
2021,1. Semestre,D320200,11,B320888200683,312.0,Curso de Engenharia de Computação,3.0,0.0,12.0,1.0,1.0,0.0,0.0,24.0
2021,1. Semestre,D320200,11,B461200642855,312.0,Curso de Engenharia de Computação,3.0,0.0,12.0,1.0,1.0,0.0,0.0,24.0
2021,1. Semestre,D320200,11,B512402380642,312.0,Curso de Engenharia de Computação,3.0,0.0,12.0,1.0,1.0,0.0,0.0,24.0
2021,1. Semestre,D320200,11,B888642512642,312.0,Curso de Engenharia de Computação,3.0,0.0,12.0,1.0,1.0,0.0,0.0,24.0
2021,1. Semestre,D320200,12,B200380461148,302.0,Engenharia Civil,3.0,0.0,12.0,1.0,0.0,0.0,0.0,38.0
2021,1. Semestre,D320200,12,B292200218320,302.0,Engenharia Civil,3.0,0.0,12.0,1.0,0.0,0.0,0.0,38.0
2021,1. Semestre,D320200,12,B320888200683,302.0,Engenharia Civil,3.0,0.0,12.0,1.0,0.0,0.0,0.0,38.0
2021,1. Semestre,D320200,12,B461200642855,302.0,Engenharia Civil,3.0,0.0,12.0,1.0,0.0,0.0,0.0,38.0
2021,1. Semestre,D320200,12,B512402380642,302.0,Engenharia Civil,3.0,0.0,12.0,1.0,0.0,0.0,0.0,38.0
2021,1. Semestre,D320200,12,B888642512642,302.0,Engenharia Civil,3.0,0.0,12.0,1.0,0.0,0.0,0.0,38.0
2021,1. Semestre,D320200,13,B200380461148,303.0,Engenharia Elétrica,5.0,0.0,12.0,0.0,0.0,0.0,0.0,39.0
2021,1. Semestre,D320200,13,B292200218320,303.0,Engenharia Elétrica,5.0,0.0,12.0,0.0,0.0,0.0,0.0,39.0
2021,1. Semestre,D320200,13,B320888200683,303.0,Engenharia Elétrica,5.0,0.0,12.0,0.0,0.0,0.0,0.0,39.0
2021,1. Semestre,D320200,13,B461200642855,303.0,Engenharia Elétrica,5.0,0.0,12.0,0.0,0.0,0.0,0.0,39.0
2021,1. Semestre,D320200,13,B512402380642,303.0,Engenharia Elétrica,5.0,0.0,12.0,0.0,0.0,0.0,0.0,39.0
2021,1. Semestre,D320200,13,B888642512642,303.0,Engenharia Elétrica,5.0,0.0,12.0,0.0,0.0,0.0,0.0,39.0
2021,1. Semestre,D320200,14,B200380461148,304.0,Engenharia Mecânica,3.0,0.0,13.0,0.0,1.0,0.0,0.0,30.0
2021,1. Semestre,D320200,14,B292200218320,304.0,Engenharia Mecânica,3.0,0.0,13.0,0.0,1.0,0.0,0.0,30.0
2021,1. Semestre,D320200,14,B320888200683,304.0,Engenharia Mecânica,3.0,0.0,13.0,0.0,1.0,0.0,0.0,30.0
2021,1. Semestre,D320200,14,B461200642855,304.0,Engenharia Mecânica,3.0,0.0,13.0,0.0,1.0,0.0,0.0,30.0
2021,1. Semestre,D320200,14,B512402380642,304.0,Engenharia Mecânica,3.0,0.0,13.0,0.0,1.0,0.0,0.0,30.0
2021,1. Semestre,D320200,14,B888642512642,304.0,Engenharia Mecânica,3.0,0.0,13.0,0.0,1.0,0.0,0.0,30.0
2021,1. Semestre,D320200,15,B200380461148,315.0,Curso de Engenharia Aeroespacial,9.0,0.0,7.0,0.0,1.0,0.0,0.0,22.0
2021,1. Semestre,D320200,15,B292200218320,315.0,Curso de Engenharia Aeroespacial,9.0,0.0,7.0,0.0,1.0,0.0,0.0,22.0
2021,1. Semestre,D320200,15,B320888200683,315.0,Curso de Engenharia Aeroespacial,9.0,0.0,7.0,0.0,1.0,0.0,0.0,22.0
2021,1. Semestre,D320200,15,B461200642855,315.0,Curso de Engenharia Aeroespacial,9.0,0.0,7.0,0.0,1.0,0.0,0.0,22.0
2021,1. Semestre,D320200,15,B512402380642,315.0,Curso de Engenharia Aeroespacial,9.0,0.0,7.0,0.0,1.0,0.0,0.0,22.0
2021,1. Semestre,D320200,15,B888642512642,315.0,Curso de Engenharia Aeroespacial,9.0,0.0,7.0,0.0,1.0,0.0,0.0,22.0
2021,1. Semestre,D320200,16,B200380461148,307.0,Ciência da Computação - Bacharelado,5.0,0.0,11.0,1.0,0.0,0.0,0.0,22.0
2021,1. Semestre,D320200,16,B292200218320,307.0,Ciência da Computação - Bacharelado,5.0,0.0,11.0,1.0,0.0,0.0,0.0,22.0
2021,1. Semestre,D320200,16,B320888200683,307.0,Ciência da Computação - Bacharelado,5.0,0.0,11.0,1.0,0.0,0.0,0.0,22.0
2021,1. Semestre,D320200,16,B461200642855,307.0,Ciência da Computação - Bacharelado,5.0,0.0,11.0,1.0,0.0,0.0,0.0,22.0
2021,1. Semestre,D320200,16,B512402380642,307.0,Ciência da Computação - Bacharelado,5.0,0.0,11.0,1.0,0.0,0.0,0.0,22.0
2021,1. Semestre,D320200,16,B888642512642,307.0,Ciência da Computação - Bacharelado,5.0,0.0,11.0,1.0,0.0,0.0,0.0,22.0
2021,1. Semestre,D320200,17,B200380461148,310.0,Curso Engenharia de Controle e Automação,4.0,0.0,11.0,1.0,1.0,0.0,0.0,39.0
2021,1. Semestre,D320200,17,B292200218320,310.0,Curso Engenharia de Controle e Automação,4.0,0.0,11.0,1.0,1.0,0.0,0.0,39.0
2021,1. Semestre,D320200,17,B320888200683,310.0,Curso Engenharia de Controle e Automação,4.0,0.0,11.0,1.0,1.0,0.0,0.0,39.0
2021,1. Semestre,D320200,17,B461200642855,310.0,Curso Engenharia de Controle e Automação,4.0,0.0,11.0,1.0,1.0,0.0,0.0,39.0
2021,1. Semestre,D320200,17,B512402380642,310.0,Curso Engenharia de Controle e Automação,4.0,0.0,11.0,1.0,1.0,0.0,0.0,39.0
2021,1. Semestre,D320200,17,B888642512642,310.0,Curso Engenharia de Controle e Automação,4.0,0.0,11.0,1.0,1.0,0.0,0.0,39.0
2021,1. Semestre,D320200,18,B200380461148,311.0,Curso de Engenharia Acústica,3.0,0.0,11.0,2.0,0.0,0.0,0.0,41.0
2021,1. Semestre,D320200,18,B292200218320,311.0,Curso de Engenharia Acústica,3.0,0.0,11.0,2.0,0.0,0.0,0.0,41.0
2021,1. Semestre,D320200,18,B320888200683,311.0,Curso de Engenharia Acústica,3.0,0.0,11.0,2.0,0.0,0.0,0.0,41.0
2021,1. Semestre,D320200,18,B461200642855,311.0,Curso de Engenharia Acústica,3.0,0.0,11.0,2.0,0.0,0.0,0.0,41.0
2021,1. Semestre,D320200,18,B512402380642,311.0,Curso de Engenharia Acústica,3.0,0.0,11.0,2.0,0.0,0.0,0.0,41.0
2021,1. Semestre,D320200,18,B888642512642,311.0,Curso de Engenharia Acústica,3.0,0.0,11.0,2.0,0.0,0.0,0.0,41.0
2021,1. Semestre,D320200,19,B200380461148,305.0,Engenharia Química,6.0,0.0,10.0,0.0,0.0,0.0,0.0,36.0
2021,1. Semestre,D320200,19,B292200218320,305.0,Engenharia Química,6.0,0.0,10.0,0.0,0.0,0.0,0.0,36.0
2021,1. Semestre,D320200,19,B320888200683,305.0,Engenharia Química,6.0,0.0,10.0,0.0,0.0,0.0,0.0,36.0
2021,1. Semestre,D320200,19,B461200642855,305.0,Engenharia Química,6.0,0.0,10.0,0.0,0.0,0.0,0.0,36.0
2021,1. Semestre,D320200,19,B512402380642,305.0,Engenharia Química,6.0,0.0,10.0,0.0,0.0,0.0,0.0,36.0
2021,1. Semestre,D320200,19,B888642512642,305.0,Engenharia Química,6.0,0.0,10.0,0.0,0.0,0.0,0.0,36.0
2021,1. Semestre,D320200,50,B200380461148,302.0,Engenharia Civil,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0
2021,1. Semestre,D320200,50,B200380461148,305.0,Engenharia Química,0.0,0.0,100.0,0.0,0.0,0.0,0.0,10.0
2021,1. Semestre,D402855,CC,C946200380402,307.0,Ciência da Computação - Bacharelado,42.0,0.0,58.0,0.0,0.0,0.0,0.0,24.0
2021,1. Semestre,D402855,SI1,C200380893402,314.0,Bacharelado em Sistemas de Informação,29.0,0.0,71.0,0.0,0.0,0.0,0.0,7.0
2021,1. Semestre,D888148,CC1,C320402855200,307.0,Ciência da Computação - Bacharelado,68.0,0.0,21.0,0.0,0.0,11.0,0.0,19.0
2021,1. Semestre,D888148,CC2,C380148200685,307.0,Ciência da Computação - Bacharelado,72.0,0.0,17.0,0.0,0.0,11.0,0.0,18.0
2021,1. Semestre,D888148,SI1,C320402855200,314.0,Bacharelado em Sistemas de Informação,20.0,0.0,80.0,0.0,0.0,0.0,0.0,5.0
2021,1. Semestre,D888148,SI2,C380148200685,314.0,Bacharelado em Sistemas de Informação,20.0,0.0,80.0,0.0,0.0,0.0,0.0,5.0
2021,1. Semestre,D888200,CC1,E681200461218,307.0,Ciência da Computação - Bacharelado,84.0,0.0,5.0,0.0,0.0,11.0,0.0,19.0
2021,1. Semestre,D888200,CC2,E978402380148,307.0,Ciência da Computação - Bacharelado,56.0,0.0,33.0,0.0,0.0,11.0,0.0,18.0
2021,1. Semestre,D888200,SI1,E681200461218,314.0,Bacharelado em Sistemas de Informação,20.0,0.0,80.0,0.0,0.0,0.0,0.0,5.0
2021,1. Semestre,D888200,SI2,E978402380148,314.0,Bacharelado em Sistemas de Informação,60.0,0.0,40.0,0.0,0.0,0.0,0.0,5.0
2021,2. Semestre,D200888,10,P888402148,313.0,Curso de Engenharia de Produção,6.0,8.0,78.0,0.0,0.0,8.0,0.0,36.0
2021,2. Semestre,D200888,11,P394200218,402.0,Engenharia Florestal,66.0,0.0,30.0,0.0,4.0,0.0,0.0,53.0
2021,2. Semestre,D200888,12,P148855320,307.0,Ciência da Computação - Bacharelado,27.0,0.0,61.0,12.0,0.0,0.0,0.0,49.0
2021,2. Semestre,D200888,13,P946200888,302.0,Engenharia Civil,34.0,2.0,64.0,0.0,0.0,0.0,0.0,47.0
2021,2. Semestre,D200888,14,P512200642,305.0,Engenharia Química,5.0,3.0,93.0,0.0,0.0,0.0,0.0,40.0
2021,2. Semestre,D200888,15,P200218642,504.0,Ciências Econômicas - Noturno,48.0,0.0,44.0,8.0,0.0,0.0,0.0,52.0
2021,2. Semestre,D200888,T50REA,P394200218,305.0,Engenharia Química,81.0,0.0,19.0,0.0,0.0,0.0,0.0,21.0
2021,2. Semestre,D320199,10,A148855320200,303.0,Engenharia Elétrica,1.0,1.0,17.0,0.0,0.0,0.0,0.0,52.0
2021,2. Semestre,D320199,10,A380683888642,303.0,Engenharia Elétrica,1.0,1.0,17.0,0.0,0.0,0.0,0.0,52.0
2021,2. Semestre,D320199,10,A512642218320,303.0,Engenharia Elétrica,1.0,1.0,17.0,0.0,0.0,0.0,0.0,52.0
2021,2. Semestre,D320199,10,A855200218200,303.0,Engenharia Elétrica,1.0,1.0,17.0,0.0,0.0,0.0,0.0,52.0
2021,2. Semestre,D320199,10,A893683855461,303.0,Engenharia Elétrica,1.0,1.0,17.0,0.0,0.0,0.0,0.0,52.0
2021,2. Semestre,D320199,11,A148855320200,312.0,Curso de Engenharia de Computação,2.0,2.0,13.0,0.0,0.0,3.0,0.0,44.0
2021,2. Semestre,D320199,11,A380683888642,312.0,Curso de Engenharia de Computação,2.0,2.0,13.0,0.0,0.0,3.0,0.0,44.0
2021,2. Semestre,D320199,11,A512642218320,312.0,Curso de Engenharia de Computação,2.0,2.0,13.0,0.0,0.0,3.0,0.0,44.0
2021,2. Semestre,D320199,11,A855200218200,312.0,Curso de Engenharia de Computação,2.0,2.0,13.0,0.0,0.0,3.0,0.0,44.0
2021,2. Semestre,D320199,11,A893683855461,312.0,Curso de Engenharia de Computação,2.0,2.0,13.0,0.0,0.0,3.0,0.0,44.0
2021,2. Semestre,D320199,12,A148855320200,304.0,Engenharia Mecânica,0.0,1.0,18.0,0.0,0.0,0.0,0.0,49.0
2021,2. Semestre,D320199,12,A380683888642,304.0,Engenharia Mecânica,0.0,1.0,18.0,0.0,0.0,0.0,0.0,49.0
2021,2. Semestre,D320199,12,A512642218320,304.0,Engenharia Mecânica,0.0,1.0,18.0,0.0,0.0,0.0,0.0,49.0
2021,2. Semestre,D320199,12,A855200218200,304.0,Engenharia Mecânica,0.0,1.0,18.0,0.0,0.0,0.0,0.0,49.0
2021,2. Semestre,D320199,12,A893683855461,304.0,Engenharia Mecânica,0.0,1.0,18.0,0.0,0.0,0.0,0.0,49.0
2021,2. Semestre,D320199,13,A888402148380,313.0,Curso de Engenharia de Produção,68.0,7.0,16.0,0.0,2.0,7.0,0.0,44.0
2021,2. Semestre,D320199,14,A148855320200,302.0,Engenharia Civil,3.0,1.0,16.0,0.0,0.0,0.0,0.0,47.0
2021,2. Semestre,D320199,14,A380683888642,302.0,Engenharia Civil,3.0,1.0,16.0,0.0,0.0,0.0,0.0,47.0
2021,2. Semestre,D320199,14,A512642218320,302.0,Engenharia Civil,3.0,1.0,16.0,0.0,0.0,0.0,0.0,47.0
2021,2. Semestre,D320199,14,A855200218200,302.0,Engenharia Civil,3.0,1.0,16.0,0.0,0.0,0.0,0.0,47.0
2021,2. Semestre,D320199,14,A893683855461,302.0,Engenharia Civil,3.0,1.0,16.0,0.0,0.0,0.0,0.0,47.0
2021,2. Semestre,D320199,15,A148855320200,310.0,Curso Engenharia de Controle e Automação,1.0,2.0,16.0,0.0,1.0,1.0,0.0,34.0
2021,2. Semestre,D320199,15,A380683888642,310.0,Curso Engenharia de Controle e Automação,1.0,2.0,16.0,0.0,1.0,1.0,0.0,34.0
2021,2. Semestre,D320199,15,A512642218320,310.0,Curso Engenharia de Controle e Automação,1.0,2.0,16.0,0.0,1.0,1.0,0.0,34.0
2021,2. Semestre,D320199,15,A855200218200,310.0,Curso Engenharia de Controle e Automação,1.0,2.0,16.0,0.0,1.0,1.0,0.0,34.0
